City,State,Start_Lat,Start_Lng,n_acc,n_rows,County
Aaronsburg,PA,40.90167250574713,-77.42727978160919,11,29,Centre
Abbeville,AL,31.595408036884347,-85.27992500285168,22,59,Henry
Abbeville,SC,34.1987165904209,-82.4093645823298,181,529,Abbeville
Abbotsford,WI,44.938421250000005,-90.27191641666667,5,9,Marathon
Abbott,TX,31.893629,-97.087608,2,6,Hill
Abbottstown,PA,39.88907206843249,-76.98517973444224,46,152,Adams
Aberdeen,ID,42.924699,-112.849108,1,7,Bingham
Aberdeen,MD,39.51336687137111,-76.19878153830342,486,625,Harford
Aberdeen,MS,33.762639,-88.686441,1,5,Monroe
Aberdeen,NC,35.11083057857143,-79.41848622346939,19,49,Moore
Aberdeen,OH,38.672845708333334,-83.73296504166666,4,12,Brown
Aberdeen,SD,45.4536177,-98.4742577,2,10,Brown
Aberdeen,WA,46.957581752196695,-123.83200126753506,35,95,Grays Harbor
Abernathy,TX,33.870649,-101.853642,1,5,Hale
Abilene,KS,38.81323,-97.223612,1,6,Dickinson
Abilene,TX,32.40319001270292,-99.68664776899351,29,88,Taylor
Abingdon,MD,39.465042003432444,-76.29893411660345,259,351,Harford
Abingdon,VA,36.70637402570409,-81.98241776948562,319,480,Washington
Abington,MA,42.11732928400175,-70.95241736186993,237,352,Plymouth
Abington,PA,40.123812458502236,-75.1250277385968,428,735,Montgomery
Abrams,WI,44.781039,-88.0388225,3,6,Oconto
Absarokee,MT,45.50337046666667,-109.44738785,13,36,Stillwater
Absecon,NJ,39.44756031325677,-74.52365790194581,76,121,Atlantic
Acampo,CA,38.196227224023964,-121.23197380972589,433,648,San Joaquin
Accident,MD,39.65758774891319,-79.30058407019817,30,53,Garrett
Accokeek,MD,38.67307133500308,-77.00311793281631,116,174,Prince George's
Accomac,VA,37.72244666549296,-75.66932195774649,26,71,Accomack
Accord,NY,41.7933227,-74.22543699999999,3,10,Ulster
Ackley,IA,42.556702,-93.07592,1,6,Hardin
Acme,PA,40.1291106554429,-79.4143207904446,33,98,Westmoreland
Acme,WA,48.66013,-122.212563,1,10,Whatcom
Acoma,MN,44.95196095304848,-94.50194302833795,5,16,McLeod
Acosta,PA,40.098658,-79.048901,1,3,Somerset
Acra,NY,42.321808,-74.08892700000001,2,12,Greene
Acton,CA,34.487768987207616,-118.19782592484391,876,1038,Los Angeles
Acton,MA,42.48080108995957,-71.4422911644205,49,106,Middlesex
Acton,MT,45.89129361904762,-108.67824888095238,7,14,Yellowstone
Acushnet,MA,41.709919,-70.87329100000002,1,4,Bristol
Acworth,GA,34.078063146329725,-84.64778224113314,237,337,Cherokee
Acworth,NH,43.230141,-72.33078,1,2,Sullivan
Ada,MI,42.94441034202829,-85.47552130141156,83,171,Kent
Ada,OH,40.776562,-83.842361,1,2,Hardin
Adah,PA,39.894989470588236,-79.90393161764707,4,17,Fayette
Adair,IA,41.49374249716117,-94.64856174260305,44,52,Adair
Adair,OK,36.437431,-95.381699,1,5,Mayes
Adair Village,OR,44.668678,-123.222768,1,7,Benton
Adairsville,GA,34.37983646831947,-84.9194434950028,93,148,Bartow
Adairville,KY,36.667532,-86.85226999999998,1,4,Logan
Adams,MN,43.57023263522676,-92.74172097148643,8,16,Mower
Adams,ND,48.412874,-98.060245,1,8,Walsh
Adams,NE,40.465085875,-96.511953375,4,8,Gage
Adams,NY,43.747839,-76.065873,1,6,Jefferson
Adams,OR,45.76759055802839,-118.61913802657966,53,77,Umatilla
Adams,TN,36.51676021739131,-87.10063526086957,9,23,Robertson
Adams,WI,43.948538,-89.817419,1,8,Adams
Adams Center,NY,43.893119500000005,-75.99216325000002,4,8,Jefferson
Adams Run,SC,32.82146115957447,-80.39161136170213,10,47,Charleston
Adamsburg,PA,40.304851500000005,-79.65345766666667,5,12,Westmoreland
Adamstown,MD,39.308628830357144,-77.43561752232144,22,48,Frederick
Adamsville,AL,33.60527037570235,-86.93814389738277,10,33,Jefferson
Addis,LA,30.351233368421056,-91.26126728947368,8,19,West Baton Rouge
Addison,AL,34.1835355,-87.15466981818182,4,22,Winston
Addison,IL,41.93141729755438,-88.00957762985952,579,966,DuPage
Addison,MI,41.99121359090909,-84.3447435340909,14,44,Lenawee
Addison,PA,39.74200560265159,-79.34134802866495,28,59,Somerset
Addison,TX,32.95907589400733,-96.83303292895404,56,124,Dallas
Addy,WA,48.43000833333334,-117.85857166666666,3,4,Stevens
Adel,GA,31.12256072973049,-83.40348147176239,20,35,Cook
Adel,IA,41.564099565441786,-93.96709424453915,46,77,Dallas
Adel,OR,42.11953031993353,-119.75675023672089,65,109,Lake
Adelanto,CA,34.63434411860842,-117.48975707447377,183,391,San Bernardino
Adelphi,MD,39.01629660691824,-76.96131096226415,23,53,Prince George's
Adin,CA,41.237692492937626,-120.98667157261276,10,33,Modoc
Adkins,TX,29.389259000000006,-98.238946,1,4,Bexar
Adrian,MI,41.8942814,-84.07472725,14,30,Lenawee
Adrian,MN,43.63942877050724,-95.92021604237449,137,147,Nobles
Adrian,OR,43.65454399821825,-117.06362999340634,19,31,Malheur
Adrian,TX,35.25231673333334,-102.74870973333333,7,15,Oldham
Advance,NC,35.9603634362774,-80.4406827673934,84,119,Davie
Afton,IA,41.028192013398574,-94.15723273301371,2,7,Union
Afton,MN,44.93750135476437,-92.84629067156057,87,124,Washington
Afton,NY,42.21984966666667,-75.53824,2,6,Chenango
